time_alvo,ano,jogo,casa_ou_adversario,time_casa,time_visitante,estadio,torneio,placar_casa,placar_visitante,tecnico_casa,tecnico_visitante,nome_do_jogador,numero_do_jogador,posicao_do_jogador,substituto,capitao,passes_totais,passes_precisos,bolas_longas_totais,passes_precisos_longos,duelos_ganhos,afastamentos_totais,sofreu_faltas,defesas,minutos_jogados,toques,avaliacao,posses_de_bola_perdidas,cruzamentos_totais,cruzamentos_precisos,disputas_aereas_perdidas,duelos_perdidos,disputas_totais,disputas_ganhas,interceptacoes_ganhas,faltas,passes_chave,disputas_aereas_ganhas,desafios_perdidos,carrinhos_totais,tentativas_de_gol_bloqueadas,bloqueios_de_jogador_de_linha,perda_de_posse,tentativas_de_gol_no_alvo,gols,chutes_fora_do_alvo,socos_do_goleiro,acoes_do_goleiro_libero,acoes_precisas_do_goleiro_libero,assistencias,grandes_chances_criadas,impedimentos_totais,chutes_defendidos_de_dentro_da_area,grandes_chances_perdidas,penalti_ganho,boas_saidas_altas_do_goleiro,bola_na_trave,penalti_cometido,defesa_de_penalti,defesa_em_penalti_na_disputa_de_penaltis,gol_em_penalti_na_disputa_de_penaltis,erro_em_penalti_na_disputa_de_penaltis,penalti_perdido,erro_que_levou_a_um_chute,carrinho_de_ultimo_homem,afastamento_em_cima_da_linha,gols_contra,erro_que_levou_a_um_gol,gols_esperados,gols_evitatados,assistencias_esperadas
Palmeiras,2019.0,1.0,away,Red Bull Bragantino II,Palmeiras,Moisés Lucarelli,Paulista Série A1,1.0,1.0,Helio Chicchinato Junior,Abel Ferreira,Felipe Pires,27.0,M,True,,15.0,12.0,,,3.0,,2.0,,45.0,25.0,6.6,8.0,1.0,,,1.0,,,,,,,,1.0,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
Palmeiras,2019.0,1.0,away,Red Bull Bragantino II,Palmeiras,Moisés Lucarelli,Paulista Série A1,1.0,1.0,Helio Chicchinato Junior,Abel Ferreira,Bruno Henrique,19.0,M,True,,48.0,45.0,2.0,1.0,,1.0,,,45.0,53.0,6.7,5.0,,,1.0,3.0,1.0,,,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Palmeiras,2019.0,1.0,away,Red Bull Bragantino II,Palmeiras,Moisés Lucarelli,Paulista Série A1,1.0,1.0,Helio Chicchinato Junior,Abel Ferreira,Deyverson,16.0,F,True,,1.0,1.0,,,3.0,1.0,1.0,,22.0,7.0,6.7,2.0,,,1.0,2.0,,,,,,1.0,1.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
Palmeiras,2019.0,1.0,away,Red Bull Bragantino II,Palmeiras,Moisés Lucarelli,Paulista Série A1,1.0,1.0,Helio Chicchinato Junior,Abel Ferreira,Fernando Prass,1.0,G,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Palmeiras,2019.0,1.0,away,Red Bull Bragantino II,Palmeiras,Moisés Lucarelli,Paulista Série A1,1.0,1.0,Helio Chicchinato Junior,Abel Ferreira,Jailson,42.0,G,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Palmeiras,2019.0,1.0,away,Red Bull Bragantino II,Palmeiras,Moisés Lucarelli,Paulista Série A1,1.0,1.0,Helio Chicchinato Junior,Abel Ferreira,Marcos Rocha,2.0,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Palmeiras,2019.0,1.0,away,Red Bull Bragantino II,Palmeiras,Moisés Lucarelli,Paulista Série A1,1.0,1.0,Helio Chicchinato Junior,Abel Ferreira,Antônio Carlos,25.0,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Palmeiras,2019.0,1.0,away,Red Bull Bragantino II,Palmeiras,Moisés Lucarelli,Paulista Série A1,1.0,1.0,Helio Chicchinato Junior,Abel Ferreira,Victor Luis,26.0,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Palmeiras,2019.0,1.0,away,Red Bull Bragantino II,Palmeiras,Moisés Lucarelli,Paulista Série A1,1.0,1.0,Helio Chicchinato Junior,Abel Ferreira,Zé Rafael,8.0,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Palmeiras,2019.0,1.0,away,Red Bull Bragantino II,Palmeiras,Moisés Lucarelli,Paulista Série A1,1.0,1.0,Helio Chicchinato Junior,Abel Ferreira,Yan Matheus,40.0,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
